"Neighbourhood","Neighbourhood Id","Combined Indicators","Total Population","Total Area","Pop - Males","Pop - Females"
"Niagara",82.0,"N/A",31180.0,3.1,15410.0,15765.0
"Dufferin Grove",83.0,"N/A",11785.0,1.4,5820.0,5955.0
"Little Portugal",84.0,"N/A",15559.0,1.2,7640.0,7920.0
"South Parkdale",85.0,"N/A",21849.0,2.3,10950.0,10895.0
"Roncesvalles",86.0,"N/A",14974.0,1.5,7445.0,7535.0
"High Park-Swansea",87.0,"N/A",23925.0,5.3,11170.0,12765.0
"High Park North",88.0,"N/A",22162.0,1.9,10410.0,11745.0
"Runnymede-Bloor West Village",89.0,"N/A",10070.0,1.6,4785.0,5280.0
"Junction Area",90.0,"N/A",14366.0,2.6,7020.0,7350.0
"Weston-Pellam Park",91.0,"N/A",11098.0,1.5,5585.0,5520.0
"Corso Italia-Davenport",92.0,"N/A",14133.0,1.9,6965.0,7170.0
"Dovercourt-Wallace Emerson-Juncti",93.0,"N/A",36625.0,3.7,18075.0,18560.0
"Wychwood",94.0,"N/A",14349.0,1.7,6640.0,7705.0
"Annex",95.0,"N/A",30526.0,2.8,14365.0,16160.0
"Casa Loma",96.0,"N/A",10968.0,1.9,5090.0,5880.0
"Yonge-St.Clair",97.0,"N/A",12528.0,1.2,5615.0,6905.0
"Rosedale-Moore Park",98.0,"N/A",20923.0,4.6,9655.0,11265.0
"Mount Pleasant East",99.0,"N/A",16775.0,3.1,7790.0,8990.0
"Yonge-Eglinton",100.0,"N/A",11817.0,1.6,5520.0,6295.0
"Forest Hill South",101.0,"N/A",10732.0,2.5,4890.0,5845.0
"Forest Hill North",102.0,"N/A",12806.0,1.6,5780.0,7030.0
"Lawrence Park South",103.0,"N/A",15179.0,3.2,7190.0,7995.0
"Mount Pleasant West",104.0,"N/A",29658.0,1.3,13345.0,16320.0
"Lawrence Park North",105.0,"N/A",14607.0,2.3,7055.0,7550.0
"Humewood-Cedarvale",106.0,"N/A",14365.0,1.9,6615.0,7745.0
"Oakwood Village",107.0,"N/A",21210.0,2.2,10090.0,11120.0
"Briar Hill-Belgravia",108.0,"N/A",14257.0,1.8,6625.0,7630.0
"Caledonia-Fairbank",109.0,"N/A",9955.0,1.5,4920.0,5030.0
"Keelesdale-Eglinton West",110.0,"N/A",11058.0,1.7,5350.0,5710.0
"Rockcliffe-Smythe",111.0,"N/A",22246.0,5.1,10750.0,11495.0
"Beechborough-Greenbrook",112.0,"N/A",6577.0,1.8,3100.0,3475.0
"Weston",113.0,"N/A",17992.0,2.6,8545.0,9455.0
"Lambton Baby Point",114.0,"N/A",7985.0,1.7,3750.0,4235.0
"Mount Dennis",115.0,"N/A",13593.0,2.1,6425.0,7160.0
"Steeles",116.0,"N/A",24623.0,4.6,11730.0,12890.0
"L'Amoreaux",117.0,"N/A",43993.0,7.1,20600.0,23375.0
"Tam O'Shanter-Sullivan",118.0,"N/A",27446.0,5.5,12755.0,14690.0
"Wexford/Maryvale",119.0,"N/A",27917.0,10.2,13575.0,14340.0
"Clairlea-Birchmount",120.0,"N/A",26984.0,7.4,13135.0,13865.0
"Oakridge",121.0,"N/A",13845.0,1.8,6740.0,7110.0
"Birchcliffe-Cliffside",122.0,"N/A",22291.0,6.0,10730.0,11565.0
"Cliffcrest",123.0,"N/A",15935.0,7.1,7740.0,8195.0
"Kennedy Park",124.0,"N/A",17123.0,3.6,8325.0,8805.0
"Ionview",125.0,"N/A",13641.0,2.0,6470.0,7165.0
"Dorset Park",126.0,"N/A",25003.0,6.0,11715.0,13285.0
"Bendale",127.0,"N/A",29960.0,7.4,14405.0,15560.0
"Agincourt South-Malvern West",128.0,"N/A",23757.0,7.9,11605.0,12155.0
"Agincourt North",129.0,"N/A",29113.0,7.3,13910.0,15200.0
"Milliken",130.0,"N/A",26572.0,9.4,12850.0,13720.0
"Rouge",131.0,"N/A",46496.0,37.6,22475.0,24020.0
"Malvern",132.0,"N/A",43794.0,8.9,21015.0,22780.0
"Centennial Scarborough",133.0,"N/A",13362.0,5.4,6490.0,6875.0
"Highland Creek",134.0,"N/A",12494.0,5.1,6200.0,6300.0
"Morningside",135.0,"N/A",17455.0,5.6,8465.0,9005.0
"West Hill",136.0,"N/A",27392.0,9.6,13070.0,14320.0
"Woburn",137.0,"N/A",53485.0,12.2,25955.0,27520.0
"Eglinton East",138.0,"N/A",22776.0,3.2,10650.0,12130.0
"Scarborough Village",139.0,"N/A",16724.0,3.1,7965.0,8765.0
"Guildwood",140.0,"N/A",9917.0,3.8,4625.0,5290.0
